name,competitor_type,sub_category,lat,lon,visible
Institute for Photography & Film making - Excellence - Ahmedabad - Gujarat - IPE India.,schools,General Educational School,22.98174,72.59839,True
Manappuram Finance,schools,General Educational School,22.98301,72.5981,True
Govind Wadi School,schools,Secondary & High School,22.98288,72.59797,True
V V Patel Vidhyamandir,schools,General Educational School,22.98299,72.59797,True
Samjuba Vidya Mandir,schools,General Educational School,22.98293,72.59797,True
M.G. Diploma Degree Engineering,schools,General Educational School,22.98404,72.59733,True
S.D.College Of Commerce (school of commerce),schools,College & University,22.98328,72.59731,True
Cloudacademy,schools,General Educational School,22.98609,72.59676,True
Vatava Gujarat School 4,schools,Secondary & High School,22.97417,72.5969,True
LOTUS Overseas Education Services,schools,General Educational School,22.97437,72.59777,True
Global Edvantage Overseas Education Consultants,schools,General Educational School,22.97564,72.59918,True
E-maker Engineering Classes - Impact Education,schools,Coaching & Entrance Institute,22.97801,72.60033,True
Samarth Stationers,schools,General Educational School,22.97942,72.60026,True
NatureX Nursery,schools,Primary & Pre-School,22.97824,72.60016,True
Vedant Vidhyavihar,schools,General Educational School,22.9805,72.5999,True
Vedant International School,schools,International School,22.98065,72.60008,True
CDAC Computer Centre Isanpur,schools,General Educational School,22.98278,72.60035,True
"Admissify Ahmedabad | Study Abroad Consultant | Ielts, Toefl, Gmat, Gre Coaching",schools,Coaching & Entrance Institute,22.98311,72.60038,True
Jubilee Institute,schools,General Educational School,22.98367,72.6005,True
"Sheetalnath Turbo English Isanpur - Best Institute of Spoken English, IELTS & PTE",schools,General Educational School,22.98311,72.60052,True
Aristocratic chess academy,schools,General Educational School,22.98505,72.60003,True
Rahul Academy,schools,General Educational School,22.98359,72.60019,True
Style Salon and Academy,schools,General Educational School,22.98362,72.60011,True
D M Bhatt Group Tuition,schools,Coaching & Entrance Institute,22.98354,72.6,True
Sunries Training Academy,schools,General Educational School,22.98396,72.59998,True
vvpatelapremiumschool,schools,Secondary & High School,22.9835,72.59972,True
The ELT Spoken English and IELTS,schools,General Educational School,22.98338,72.59962,True
Om Educational By R.A.Ahuja Sir,schools,General Educational School,22.98146,72.59945,True
Maria Institute,schools,General Educational School,22.98185,72.59904,True
International Trade Link,schools,International School,22.99619,72.59952,True
Ahmedabad Academy of Martial Arts,schools,General Educational School,22.99361,72.59982,True
Smart Strategies,schools,General Educational School,22.99533,72.60022,True
UCMAS,schools,General Educational School,22.99529,72.60008,True
Dream World Dance Academy,schools,General Educational School,22.99555,72.59971,True
Vedant International PreSchool Maninagar,schools,International School,22.99843,72.59983,True
Shanti Juniors School,schools,Secondary & High School,22.99706,72.60008,True
Kidzee Maninagar Preschool & Day Care,schools,Primary & Pre-School,22.99624,72.60025,True
"FirstCry Intellitots Preschool & Daycare - Maninagar, Ahmedabad",schools,Primary & Pre-School,22.99745,72.60065,True
Harshnad International,schools,International School,22.99521,72.60059,True
Dipti Gondaliya Makeup Academy,schools,General Educational School,22.99546,72.60056,True
Smart Abacus and Mental Arithmetic Strategies,schools,General Educational School,22.99563,72.60026,True
Atha Yogshala,schools,Secondary & High School,22.99548,72.60026,True
Bang Bang Music Academy,schools,General Educational School,22.99543,72.60032,True
Calculus Maths Classes,schools,Coaching & Entrance Institute,22.9952,72.60051,True
Podar International School - Ahmedabad CBSE,schools,International School,22.99379,72.60027,True
